text,category
change mode to whisper,whisper_mode
who directs your labor,who_do_you_work_for
are you paid by somebody,who_do_you_work_for
who is the person u work for,who_do_you_work_for
what is your boss's name,who_do_you_work_for
you work for what company or person exactly,who_do_you_work_for
can you remember who compiled you,who_made_you
who designed you,who_made_you
i would like to know who programmed this ai,who_made_you
how did you come to be you,who_made_you
tell me the company that produces you and similar machines,who_made_you
that's a yes from me,yes
i have to say affirmative on that one,yes
i believe that's true,yes
that would be yes,yes
that is not false,yes
